               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.033588,           0.0062385,           0.0034397,             0.93498,             0.97619,             0.97577,             0.67275,            0.034159,           0.0042228,           0.0032326,           0.0096788,           0.0096788,           0.0096788
                 123,             0.03183,           0.0063028,           0.0036954,             0.93126,             0.94079,             0.97322,             0.62477,            0.044538,           0.0043055,           0.0031978,           0.0096735,           0.0096735,           0.0096735
                 124,            0.033381,           0.0056582,            0.003959,              0.9352,             0.94296,             0.96429,             0.75612,            0.052643,           0.0042745,           0.0035322,           0.0096682,           0.0096682,           0.0096682
                 125,            0.037197,           0.0070838,           0.0032837,             0.93798,             0.95248,              0.9727,             0.70745,            0.048967,             0.00404,           0.0064785,           0.0096628,           0.0096628,           0.0096628
                 126,            0.030929,           0.0062154,           0.0036675,             0.88869,             0.97619,             0.97271,             0.78177,            0.045414,           0.0039276,           0.0041213,           0.0096575,           0.0096575,           0.0096575
                 127,            0.030681,            0.005578,           0.0033988,             0.99596,             0.97619,             0.97273,             0.79803,            0.051429,           0.0038826,           0.0045813,            0.009652,            0.009652,            0.009652
                 128,            0.035782,            0.005497,           0.0036126,             0.99014,             0.97619,             0.97275,             0.79144,            0.048631,           0.0037802,           0.0048708,           0.0096466,           0.0096466,           0.0096466
                 129,            0.032756,           0.0060639,           0.0040327,             0.98059,             0.97619,             0.97275,             0.79698,            0.040069,           0.0039391,           0.0073259,            0.009641,            0.009641,            0.009641
                 130,            0.032377,           0.0063147,           0.0040361,             0.95315,             0.97619,             0.97275,             0.74056,            0.036812,           0.0040533,           0.0085257,           0.0096355,           0.0096355,           0.0096355
                 131,            0.029646,            0.006407,           0.0042456,             0.90021,             0.93825,             0.97275,             0.59648,            0.039225,           0.0041388,           0.0090306,           0.0096299,           0.0096299,           0.0096299
                 132,            0.030773,            0.006638,           0.0044561,             0.94807,             0.97619,             0.97276,             0.67231,             0.03655,           0.0039935,           0.0060073,           0.0096243,           0.0096243,           0.0096243
                 133,             0.03263,           0.0055706,           0.0029944,               0.829,             0.96311,             0.97278,              0.6367,            0.035733,           0.0039499,           0.0045208,           0.0096186,           0.0096186,           0.0096186
                 134,            0.030976,           0.0062923,            0.002906,             0.83484,             0.97597,              0.9728,              0.6248,             0.03874,           0.0039302,           0.0053669,           0.0096129,           0.0096129,           0.0096129
                 135,            0.026891,           0.0060486,           0.0029385,             0.85017,             0.97619,             0.96956,             0.62365,            0.035598,           0.0038436,           0.0053481,           0.0096071,           0.0096071,           0.0096071
                 136,             0.02841,           0.0056233,           0.0030848,             0.83196,             0.97619,             0.96411,              0.6434,            0.038346,           0.0038324,            0.006857,           0.0096013,           0.0096013,           0.0096013
                 137,            0.031536,           0.0054256,           0.0029647,             0.97462,             0.97619,             0.97283,              0.7564,            0.041055,           0.0037119,            0.008591,           0.0095955,           0.0095955,           0.0095955
                 138,            0.037194,           0.0058858,           0.0030702,               0.953,             0.97594,             0.96852,             0.78941,            0.034629,           0.0037742,           0.0085378,           0.0095896,           0.0095896,           0.0095896
                 139,            0.028386,           0.0072101,            0.003635,             0.98528,             0.97619,             0.97286,             0.77525,            0.035384,           0.0036381,           0.0095311,           0.0095837,           0.0095837,           0.0095837
