   134/499     2.23G   0.01723  0.009466  0.001683   0.02838        56       640    0.9908    0.9937    0.9954     0.849   0.01398   0.00719  0.001665
   135/499     2.23G   0.01849   0.00994   0.00173   0.03016        46       640    0.9874    0.9896    0.9952    0.8229    0.0123   0.00679  0.001653
   136/499     2.23G   0.01672  0.009133  0.001673   0.02752        45       640    0.9894    0.9938    0.9954    0.8206   0.01334  0.006975    0.0016
   137/499     2.23G   0.01729  0.008912  0.001577   0.02778        54       640    0.9849    0.9896    0.9941    0.8201   0.01443  0.007233  0.001596
   138/499     2.23G   0.01634  0.009185  0.001772    0.0273        33       640    0.9866    0.9823    0.9935    0.8267   0.01462  0.006894  0.001612
   139/499     2.23G   0.01707  0.009376  0.001922   0.02837        53       640    0.9896    0.9815    0.9913    0.8327   0.01343  0.006819  0.001724
   140/499     2.23G   0.01716  0.009252  0.001872   0.02829        26       640    0.9881    0.9826    0.9952     0.841   0.01281  0.006459  0.001735
   141/499     2.23G   0.01752  0.008953  0.001839   0.02832        49       640    0.9875      0.99    0.9954    0.8356   0.01324  0.006848  0.001654
   142/499     2.23G   0.01882  0.009706  0.001812   0.03033        43       640     0.988    0.9938    0.9954    0.8173   0.01544  0.007216  0.001606
   143/499     2.23G   0.01879  0.009369  0.001694   0.02986        53       640    0.9832    0.9937    0.9951    0.8529   0.01254  0.007071  0.001608
   144/499     2.23G   0.01786  0.009517   0.00176   0.02913        52       640    0.9874    0.9828    0.9944    0.8254   0.01359  0.007058  0.001572
   145/499     2.23G    0.0184   0.01054  0.001685   0.03063        47       640    0.9895    0.9875    0.9944    0.8334   0.01342  0.007079    0.0016
   146/499     2.23G   0.01745  0.009208  0.001691   0.02835        46       640    0.9904    0.9895     0.995    0.8214   0.01387  0.007103  0.001712
   147/499     2.23G   0.01657   0.00934  0.001725   0.02763        48       640    0.9882    0.9896    0.9954    0.8895   0.01134  0.006388  0.001586
   148/499     2.23G   0.01677  0.009389   0.00164    0.0278        39       640    0.9812    0.9938    0.9949     0.848   0.01376  0.006937  0.001549
   149/499     2.23G   0.01729  0.009465  0.001797   0.02856        46       640    0.9892    0.9826    0.9947    0.8369   0.01297  0.006784  0.001569
   150/499     2.23G   0.01793  0.009197  0.001738   0.02887        38       640    0.9876     0.982    0.9939    0.8509   0.01257  0.006983  0.001569
   151/499     2.23G   0.01683  0.009343  0.001642   0.02781        35       640    0.9265    0.9821    0.9935    0.8182   0.01415  0.007338  0.001505
   152/499     2.23G   0.01818  0.009603  0.001666   0.02945        59       640    0.9865    0.9825    0.9949    0.8663   0.01297  0.007184  0.001613
   153/499     2.23G   0.01541  0.009048  0.001554   0.02601        49       640    0.9894     0.994    0.9954    0.8619   0.01317  0.006793  0.001671
   154/499     2.23G   0.01638  0.009101  0.001577   0.02706        52       640    0.9919    0.9939    0.9955    0.8625    0.0124  0.006504  0.001636
   155/499     2.23G   0.01686  0.009439  0.001568   0.02787        56       640    0.9881    0.9938    0.9954    0.8613   0.01151  0.006687  0.001571
   156/499     2.23G   0.01563  0.009112  0.001579   0.02632        44       640    0.9878    0.9938    0.9954    0.8633   0.01252  0.006869  0.001439
   157/499     2.23G   0.01585   0.00935  0.001558   0.02676        38       640    0.9913    0.9833    0.9955    0.8476   0.01323  0.006884  0.001366
   158/499     2.23G   0.01595   0.00826   0.00144   0.02565        43       640     0.988    0.9938    0.9955     0.857   0.01312  0.006798  0.001334
   159/499     2.23G   0.01843   0.01019   0.00151   0.03013        50       640    0.9883    0.9938    0.9956    0.8374   0.01313  0.006905  0.001397
   160/499     2.23G   0.01632  0.009541  0.001577   0.02743        47       640    0.9894    0.9938    0.9955    0.8535   0.01277  0.006583  0.001506
   161/499     2.23G   0.01672  0.009843  0.001599   0.02816        46       640    0.9868    0.9937    0.9955    0.8421    0.0129  0.006965  0.001561
   162/499     2.23G   0.01576   0.00889  0.001595   0.02624        43       640    0.9868    0.9896    0.9953    0.8832   0.01161  0.006614  0.001573
   163/499     2.23G    0.0155  0.008376  0.001516    0.0254        62       640    0.9912    0.9828    0.9946    0.8548   0.01326  0.006959  0.001505
   164/499     2.23G   0.01521  0.008751  0.001617   0.02557        35       640     0.991    0.9826     0.994    0.8602   0.01191  0.006488  0.001396
   165/499     2.23G   0.01542  0.009249  0.001542   0.02621        42       640    0.9859    0.9938    0.9953    0.8646    0.0116  0.006362   0.00134
   166/499     2.23G   0.01629  0.009691  0.001464   0.02745        42       640    0.9869    0.9896    0.9949    0.8641   0.01254  0.006554  0.001368
   167/499     2.23G   0.01713  0.008943  0.001695   0.02777        53       640    0.9842    0.9896    0.9947    0.8333   0.01341  0.006929  0.001412
   168/499     2.23G   0.01516  0.008913   0.00152    0.0256        49       640     0.987    0.9896    0.9952    0.8674    0.0116  0.006549  0.001454
   169/499     2.23G   0.01479  0.008715  0.001563   0.02507        45       640    0.9819    0.9938     0.995    0.8748   0.01229  0.006537  0.001528
   170/499     2.23G   0.01541  0.009352  0.001598   0.02636        46       640    0.9914    0.9819    0.9949     0.833   0.01204  0.006566  0.001637
   171/499     2.23G   0.01607  0.009216  0.001594   0.02688        61       640    0.9953    0.9817    0.9953    0.8441   0.01242  0.006975  0.001567
